Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
022.000 3RD CAR GARAGE WALLS    ,3,"B, C, D","3CARB, 3CARC, 3CARD",22,3RD CAR GARAGE WALLS    ,1000,Framing,XXXX-22-1000,PPPP,022.000,BCD,1000,PPPP-022.000-BCD-1000
022.000 3RD CAR GARAGE WALLS    ,3,D,3CARD,22,3RD CAR GARAGE WALLS    ,1000,Framing,XXXX-22-1000,PPPP,022.000,D,1000,PPPP-022.000-D-1000
023.000 COVERED PATIO      ,3,,COVP,23,COVERED PATIO      ,1000,Framing,XXXX-23-1000,PPPP,023.000,**,1000,PPPP-023.000-**-1000
023.100 COVERED PATIO      ,3,,COVP1,23.1,COVERED PATIO      ,1000,Framing,XXXX-23.1-1000,PPPP,023.100,**,1000,PPPP-023.100-**-1000
023.200 COVERED PATIO 2     ,3,,COVP2,23.2,COVERED PATIO 2     ,1000,Framing,XXXX-23.2-1000,PPPP,023.200,**,1000,PPPP-023.200-**-1000
023.300 COVERED PATIO 3     ,3,,COVP3,23.3,COVERED PATIO 3     ,1000,Framing,XXXX-23.3-1000,PPPP,023.300,**,1000,PPPP-023.300-**-1000
023.610 SUNROOM COVERED PATIO     ,3,,COVPSN1,23.61,SUNROOM COVERED PATIO     ,1000,Framing,XXXX-23.61-1000,PPPP,023.610,**,1000,PPPP-023.610-**-1000
023.006 COVERED PATIO @ SUNROOM    ,3,,SUN,23.sr,COVERED PATIO @ SUNROOM    ,1000,Framing,XXXX-23.sr-1000,PPPP,023.006,**,1000,PPPP-023.006-**-1000
023.005 EXTENDED COVERED PATIO     ,3,,COVPX,23.xc,EXTENDED COVERED PATIO     ,1000,Framing,XXXX-23.xc-1000,PPPP,023.005,**,1000,PPPP-023.005-**-1000
024.000 DECK FRAMING      ,3,,WO,24,DECK FRAMING      ,1000,Framing,XXXX-24-1000,PPPP,024.000,**,1000,PPPP-024.000-**-1000
024.100 DECK FRAMING      ,3,,DECK,24.1,DECK FRAMING      ,1000,Framing,XXXX-24.1-1000,PPPP,024.100,**,1000,PPPP-024.100-**-1000
024.200 DECK FRAMING      ,3,,DECK2,24.2,DECK FRAMING      ,1000,Framing,XXXX-24.2-1000,PPPP,024.200,**,1000,PPPP-024.200-**-1000
024.300 DECK FRAMING      ,3,,DECK3,24.3,DECK FRAMING      ,1000,Framing,XXXX-24.3-1000,PPPP,024.300,**,1000,PPPP-024.300-**-1000
024.605 DECK FRAMING @ EXT GRT RM WALKOUT ,3,,DECKX,24.6,DECK FRAMING @ EXT GRT RM WALKOUT ,1000,Framing,XXXX-24.6-1000,PPPP,024.605,**,1000,PPPP-024.605-**-1000
024.005 EXT DECK FRAMING     ,3,,"COVD2, WO",24.ed,EXT DECK FRAMING     ,1000,Framing,XXXX-24.ed-1000,PPPP,024.005,**,1000,PPPP-024.005-**-1000
024.006 DECK FRAMING @ SUNROOM    ,3,,"SUN, COVD1SN, SUNWO",24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,XXXX-24.sr-1000,PPPP,024.006,**,1000,PPPP-024.006-**-1000
024.006 DECK FRAMING @ SUNROOM    ,3,,"COVD1SN, SUNWO",24.sr,DECK FRAMING @ SUNROOM    ,1000,Framing,XXXX-24.sr-1000,PPPP,024.006,**,1000,PPPP-024.006-**-1000
025.100 COVERED DECK      ,3,,COVD,25.1,COVERED DECK      ,1000,Framing,XXXX-25.1-1000,PPPP,025.100,**,1000,PPPP-025.100-**-1000
025.100 COVERED DECK FRAMING     ,3,,COVD,25.1,COVERED DECK FRAMING     ,1000,Framing,XXXX-25.1-1000,PPPP,025.100,**,1000,PPPP-025.100-**-1000
025.101 COVERED DECK STAIR FRAMING    ,3,,COVD,25.1s,COVERED DECK STAIR FRAMING    ,1000,Framing,XXXX-25.1s-1000,PPPP,025.101,**,1000,PPPP-025.101-**-1000
025.200 COVERED DECK FRAMING     ,3,,COVD2,25.2,COVERED DECK FRAMING     ,1000,Framing,XXXX-25.2-1000,PPPP,025.200,**,1000,PPPP-025.200-**-1000
025.300 COVERED DECK FRAMING     ,3,,COVD3,25.3,COVERED DECK FRAMING     ,1000,Framing,XXXX-25.3-1000,PPPP,025.300,**,1000,PPPP-025.300-**-1000
025.008 DECK FRAMING      ,3,,TALLCRWL,25.tc,DECK FRAMING      ,1000,Framing,XXXX-25.tc-1000,PPPP,025.008,**,1000,PPPP-025.008-**-1000
027.000 MAIN FLOOR SHAFTLINER     ,3,A,,27,MAIN FLOOR SHAFTLINER     ,1000,Framing,XXXX-27-1000,PPPP,027.000,A,1000,PPPP-027.000-A-1000
030.000 2ND FLOOR SYSTEM     ,3,,,30,2ND FLOOR SYSTEM     ,1000,Framing,XXXX-30-1000,PPPP,030.000,**,1000,PPPP-030.000-**-1000
030.000 2ND FLOOR SYSTEM|     ,3,,,30,2ND FLOOR SYSTEM|     ,1000,Framing,XXXX-30-1000,PPPP,030.000,**,1000,PPPP-030.000-**-1000
030.210 OPT DBA DELUXE MASTER BATH 1  ,3,,DBA,30.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,XXXX-30.21-1000,PPPP,030.210,**,1000,PPPP-030.210-**-1000
030.220 OPT DBA2 DELUXE MASTER BATH 2  ,3,,DBA2,30.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,XXXX-30.22-1000,PPPP,030.220,**,1000,PPPP-030.220-**-1000
030.620 OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN,3,,LOFT2,30.62,OPT LOFT2 2ND FLOOR SYSTEM (SHIP WITH MAIN,1000,Framing,XXXX-30.62-1000,PPPP,030.620,**,1000,PPPP-030.620-**-1000
030.004 2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS ,3,"A, B, C",,30.nl,2ND FLOOR SYSTEM (SHIP WITH MAIN WALLS ,1000,Framing,XXXX-30.nl-1000,PPPP,030.004,ABC,1000,PPPP-030.004-ABC-1000
030.000 2ND FLOOR SYSTEM     ,3,"B, C, D",,30,2ND FLOOR SYSTEM     ,1000,Framing,XXXX-30-1000,PPPP,030.000,BCD,1000,PPPP-030.000-BCD-1000
032.000 2ND FLOOR SUBFLOOR     ,4,,,32,2ND FLOOR SUBFLOOR     ,1000,Framing,XXXX-32-1000,PPPP,032.000,**,1000,PPPP-032.000-**-1000
032.623 OPT LOFT2 2ND FLOOR SUBFLOOR   ,4,,LOFT2,32.62,OPT LOFT2 2ND FLOOR SUBFLOOR   ,1000,Framing,XXXX-32.62-1000,PPPP,032.623,**,1000,PPPP-032.623-**-1000
032.003 2ND FLOOR SUBFLOOR @ LOFT,4,,LOFT,32.lo,2ND FLOOR SUBFLOOR @ LOFT,1000,Framing,XXXX-32.lo-1000,PPPP,032.003,**,1000,PPPP-032.003-**-1000
032.000 2ND FLOOR SUBFLOOR     ,4,,,32,2ND FLOOR SUBFLOOR     ,1000,Framing,XXXX-32-1000,PPPP,032.000,**,1000,PPPP-032.000-**-1000
032.000 2ND FLOOR SUBFLOOR     ,4,"B, C, D",,32,2ND FLOOR SUBFLOOR     ,1000,Framing,XXXX-32-1000,PPPP,032.000,BCD,1000,PPPP-032.000-BCD-1000
034.100 LAUNDRY ROOM WINDOW     ,4,,,34.1,LAUNDRY ROOM WINDOW     ,1000,Framing,XXXX-34.1-1000,PPPP,034.100,**,1000,PPPP-034.100-**-1000
034.100 OPT BATHROOM 2 WINDOW    ,4,,,34.1,OPT BATHROOM 2 WINDOW    ,1000,Framing,XXXX-34.1-1000,PPPP,034.100,**,1000,PPPP-034.100-**-1000
034.110 OPT MASTER BEDROOM WINDOW(S)    ,4,,WDWMBR,34.11,OPT MASTER BEDROOM WINDOW(S)    ,1000,Framing,XXXX-34.11-1000,PPPP,034.110,**,1000,PPPP-034.110-**-1000
034.140 OPT BEDROOM 2 WINDOW    ,4,,WDWBR2,34.14,OPT BEDROOM 2 WINDOW    ,1000,Framing,XXXX-34.14-1000,PPPP,034.140,**,1000,PPPP-034.140-**-1000
034.150 OPT BEDROOM 3 WINDOW    ,4,,WDWBR3,34.15,OPT BEDROOM 3 WINDOW    ,1000,Framing,XXXX-34.15-1000,PPPP,034.150,**,1000,PPPP-034.150-**-1000
034.160 OPT BATHROOM 2 WINDOW    ,4,,WDWBA2,34.16,OPT BATHROOM 2 WINDOW    ,1000,Framing,XXXX-34.16-1000,PPPP,034.160,**,1000,PPPP-034.160-**-1000
034.210 OPT DBA DELUXE MASTER BATH 1  ,4,,DBA,34.21,OPT DBA DELUXE MASTER BATH 1  ,1000,Framing,XXXX-34.21-1000,PPPP,034.210,**,1000,PPPP-034.210-**-1000
034.220 OPT DBA2 DELUXE MASTER BATH 2  ,4,,DBA2,34.22,OPT DBA2 DELUXE MASTER BATH 2  ,1000,Framing,XXXX-34.22-1000,PPPP,034.220,**,1000,PPPP-034.220-**-1000
034.230 OPT DELUXE MBA1     ,4,,,34.23,OPT DELUXE MBA1     ,1000,Framing,XXXX-34.23-1000,PPPP,034.230,**,1000,PPPP-034.230-**-1000
034.240 OPT BEDROOM 4     ,4,,ABR4,34.24,OPT BEDROOM 4     ,1000,Framing,XXXX-34.24-1000,PPPP,034.240,**,1000,PPPP-034.240-**-1000
034.240 OPT BEDROOM 4     ,4,"B, C, D",,34.24,OPT BEDROOM 4     ,1000,Framing,XXXX-34.24-1000,PPPP,034.240,BCD,1000,PPPP-034.240-BCD-1000
034.250 OPT BEDROOM 5     ,4,,ABR5,34.25,OPT BEDROOM 5     ,1000,Framing,XXXX-34.25-1000,PPPP,034.250,**,1000,PPPP-034.250-**-1000
034.250 OPT BEDROOM 5     ,4,,ABR5BA3,34.25,OPT BEDROOM 5     ,1000,Framing,XXXX-34.25-1000,PPPP,034.250,**,1000,PPPP-034.250-**-1000
034.250 OPT BEDROOM 5     ,4,,ABR5BA4,34.25,OPT BEDROOM 5     ,1000,Framing,XXXX-34.25-1000,PPPP,034.250,**,1000,PPPP-034.250-**-1000
034.260 OPT BEDROOM 6     ,4,,ABR6,34.26,OPT BEDROOM 6     ,1000,Framing,XXXX-34.26-1000,PPPP,034.260,**,1000,PPPP-034.260-**-1000
034.260 OPT BEDROOM 6 W/ BATHROOM   ,4,,ABR6,34.26,OPT BEDROOM 6 W/ BATHROOM   ,1000,Framing,XXXX-34.26-1000,PPPP,034.260,**,1000,PPPP-034.260-**-1000
034.270 OPT MBR SITTING     ,4,,SITTING,34.27,OPT MBR SITTING     ,1000,Framing,XXXX-34.27-1000,PPPP,034.270,**,1000,PPPP-034.270-**-1000
034.610 LOFT BECOMES BEDROOM     ,4,,,34.61,LOFT BECOMES BEDROOM     ,1000,Framing,XXXX-34.61-1000,PPPP,034.610,**,1000,PPPP-034.610-**-1000
034.620 OPT LOFT2 2ND FLOOR WALLS   ,4,,LOFT2,34.62,OPT LOFT2 2ND FLOOR WALLS   ,1000,Framing,XXXX-34.62-1000,PPPP,034.620,**,1000,PPPP-034.620-**-1000
034.800 OPT RETREAT      ,4,,,34.8,OPT RETREAT      ,1000,Framing,XXXX-34.8-1000,PPPP,034.800,**,1000,PPPP-034.800-**-1000
034.800 OPT RETREAT      ,4,"B, C, D",,34.8,OPT RETREAT      ,1000,Framing,XXXX-34.8-1000,PPPP,034.800,BCD,1000,PPPP-034.800-BCD-1000
034.003 2ND FLOOR WALLS (LOFT)    ,4,"A, B, C",,34.lp,2ND FLOOR WALLS (LOFT)    ,1000,Framing,XXXX-34.lp-1000,PPPP,034.003,ABC,1000,PPPP-034.003-ABC-1000
034.004 2ND FLOOR WALLS (NO LOFT)   ,4,"A, B, C",,34.nl,2ND FLOOR WALLS (NO LOFT)   ,1000,Framing,XXXX-34.nl-1000,PPPP,034.004,ABC,1000,PPPP-034.004-ABC-1000
034.909 2ND FLOOR WALLS 9'    ,4,,,34.9t,2ND FLOOR WALLS 9'    ,1000,Framing,XXXX-34.9t-1000,PPPP,034.909,**,1000,PPPP-034.909-**-1000
034.909 2ND WALLS 9' CEILING    ,4,,92L,34.9t,2ND WALLS 9' CEILING    ,1000,Framing,XXXX-34.9t-1000,PPPP,034.909,**,1000,PPPP-034.909-**-1000
034.000 2ND FLOOR WALLS     ,4,,,34,2ND FLOOR WALLS     ,1000,Framing,XXXX-34-1000,PPPP,034.000,**,1000,PPPP-034.000-**-1000
034.000 2ND FLOOR WALLS     ,4,"B, C, D",,34,2ND FLOOR WALLS     ,1000,Framing,XXXX-34-1000,PPPP,034.000,BCD,1000,PPPP-034.000-BCD-1000
034.000 2ND FLOOR WALLS     ,4,C,,34,2ND FLOOR WALLS     ,1000,Framing,XXXX-34-1000,PPPP,034.000,C,1000,PPPP-034.000-C-1000
034.000 2ND FLOOR WALLS     ,4,D,,34,2ND FLOOR WALLS     ,1000,Framing,XXXX-34-1000,PPPP,034.000,D,1000,PPPP-034.000-D-1000
034.001 2ND FLOOR WALLS READYFRAME    ,4,,,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,XXXX-34.rf-1000,PPPP,034.001,**,1000,PPPP-034.001-**-1000
034.001 2ND FLOOR WALLS READYFRAME    ,4,"B, C",,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,XXXX-34.rf-1000,PPPP,034.001,BC,1000,PPPP-034.001-BC-1000
034.001 2ND FLOOR WALLS READYFRAME    ,4,"B, C, D",,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,XXXX-34.rf-1000,PPPP,034.001,BCD,1000,PPPP-034.001-BCD-1000
034.001 2ND FLOOR WALLS READYFRAME    ,4,D,,34.rf,2ND FLOOR WALLS READYFRAME    ,1000,Framing,XXXX-34.rf-1000,PPPP,034.001,D,1000,PPPP-034.001-D-1000
040.000 ROOF       ,5,,,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,**,1000,PPPP-040.000-**-1000
040.600 EXTENDED GREAT ROOM ROOF    ,5,,"XGREAT, WO2",40.6,EXTENDED GREAT ROOM ROOF    ,1000,Framing,XXXX-40.6-1000,PPPP,040.600,**,1000,PPPP-040.600-**-1000
040.610 ROOF SUNROOM      ,5,,SUN,40.61,ROOF SUNROOM      ,1000,Framing,XXXX-40.61-1000,PPPP,040.610,**,1000,PPPP-040.610-**-1000
040.800 OPT BUILD-OUT ROOF,5,"A, C, D",,40.8,OPT BUILD-OUT ROOF,1000,Framing,XXXX-40.8-1000,PPPP,040.800,ACD,1000,PPPP-040.800-ACD-1000
040.000 ROOF       ,5,B,,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,B,1000,PPPP-040.000-B-1000
040.000 ROOF       ,5,"B, C",,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,BC,1000,PPPP-040.000-BC-1000
040.000 ROOF       ,5,"B, C, D",,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,BCD,1000,PPPP-040.000-BCD-1000
040.000 ROOF       ,5,C,,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,C,1000,PPPP-040.000-C-1000
040.000 ROOF       ,5,D,,40,ROOF       ,1000,Framing,XXXX-40-1000,PPPP,040.000,D,1000,PPPP-040.000-D-1000
040.006 ROOF GABLE SHEETING     ,5,,,40.gs,ROOF GABLE SHEETING     ,1000,Framing,XXXX-40.gs-1000,PPPP,040.006,**,1000,PPPP-040.006-**-1000
040.006 ROOF GABLE SHEETING     ,5,A,,40.gs,ROOF GABLE SHEETING     ,1000,Framing,XXXX-40.gs-1000,PPPP,040.006,A,1000,PPPP-040.006-A-1000
040.006 ROOF GABLE SHEETING     ,5,B,,40.gs,ROOF GABLE SHEETING     ,1000,Framing,XXXX-40.gs-1000,PPPP,040.006,B,1000,PPPP-040.006-B-1000
042.400 OPT 4 CAR GARAGE TANDEM ROOF  ,5,"A, B","3CARTA, 3CARTB",42.4,OPT 4 CAR GARAGE TANDEM ROOF  ,1000,Framing,XXXX-42.4-1000,PPPP,042.400,AB,1000,PPPP-042.400-AB-1000
042.400 OPT 4 CAR GARAGE TANDEM ROOF  ,5,C,3CARTC,42.4,OPT 4 CAR GARAGE TANDEM ROOF  ,1000,Framing,XXXX-42.4-1000,PPPP,042.400,C,1000,PPPP-042.400-C-1000
042.405 OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XA,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,XXXX-42.4x-1000,PPPP,042.405,**,1000,PPPP-042.405-**-1000
042.405 OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XB,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,XXXX-42.4x-1000,PPPP,042.405,**,1000,PPPP-042.405-**-1000
042.405 OPT 2 CAR GARAGE 4' EXT ROOF ,5,,2CAR4XC,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,XXXX-42.4x-1000,PPPP,042.405,**,1000,PPPP-042.405-**-1000
042.405 OPT 2 CAR GARAGE 4' EXT ROOF ,5,"A, B","2CAR4XA, 2CAR4XB",42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,XXXX-42.4x-1000,PPPP,042.405,AB,1000,PPPP-042.405-AB-1000
042.405 OPT 2 CAR GARAGE 4' EXT ROOF ,5,C,2CAR4XC,42.4x,OPT 2 CAR GARAGE 4' EXT ROOF ,1000,Framing,XXXX-42.4x-1000,PPPP,042.405,C,1000,PPPP-042.405-C-1000
042.505 OPT 2 CAR GARAGE 5' EXT ROOF ,5,"A, B","2CAR5XA, 2CAR5XB",42.5x,OPT 2 CAR GARAGE 5' EXT ROOF ,1000,Framing,XXXX-42.5x-1000,PPPP,042.505,AB,1000,PPPP-042.505-AB-1000
042.505 OPT 2 CAR GARAGE 5' EXT ROOF ,5,C,2CAR5XC,42.5x,OPT 2 CAR GARAGE 5' EXT ROOF ,1000,Framing,XXXX-42.5x-1000,PPPP,042.505,C,1000,PPPP-042.505-C-1000
042.000 OPT 3RD CAR GARAGE ROOF   ,5,A,3CARA,42,OPT 3RD CAR GARAGE ROOF   ,1000,Framing,XXXX-42-1000,PPPP,042.000,A,1000,PPPP-042.000-A-1000
042.000 OPT 3RD CAR GARAGE ROOF   ,5,"A, B","3CARA, 3CARB",42,OPT 3RD CAR GARAGE ROOF   ,1000,Framing,XXXX-42-1000,PPPP,042.000,AB,1000,PPPP-042.000-AB-1000
042.000 3RD CAR GARAGE ROOF    ,5,"B, C, D",,42,3RD CAR GARAGE ROOF    ,1000,Framing,XXXX-42-1000,PPPP,042.000,BCD,1000,PPPP-042.000-BCD-1000
042.000 3RD CAR GARAGE ROOF    ,5,"B, D",,42,3RD CAR GARAGE ROOF    ,1000,Framing,XXXX-42-1000,PPPP,042.000,BD,1000,PPPP-042.000-BD-1000
042.000 3RD CAR GARAGE ROOF    ,5,C,,42,3RD CAR GARAGE ROOF    ,1000,Framing,XXXX-42-1000,PPPP,042.000,C,1000,PPPP-042.000-C-1000
043.000 COVERED PATIO ROOF     ,5,,COVP,43,COVERED PATIO ROOF     ,1000,Framing,XXXX-43-1000,PPPP,043.000,**,1000,PPPP-043.000-**-1000
043.100 OPT COVERED PATIO 1 ROOF   ,5,,,43.1,OPT COVERED PATIO 1 ROOF   ,1000,Framing,XXXX-43.1-1000,PPPP,043.100,**,1000,PPPP-043.100-**-1000
043.200 OPT COVERED PATIO 2 ROOF   ,5,,,43.2,OPT COVERED PATIO 2 ROOF   ,1000,Framing,XXXX-43.2-1000,PPPP,043.200,**,1000,PPPP-043.200-**-1000
043.300 OPT COVERED PATIO 2 ROOF   ,5,,"COVD3, COVP3",43.3,OPT COVERED PATIO 2 ROOF   ,1000,Framing,XXXX-43.3-1000,PPPP,043.300,**,1000,PPPP-043.300-**-1000
043.610 SUNROOM COVERED PATIO ROOF    ,5,,COVPSN1,43.61,SUNROOM COVERED PATIO ROOF    ,1000,Framing,XXXX-43.61-1000,PPPP,043.610,**,1000,PPPP-043.610-**-1000
043.910 COVERED PATIO @ SUNROOM ROOF   ,5,"A, B, C","COVPSN1, COVD1SN",43.sr,COVERED PATIO @ SUNROOM ROOF   ,1000,Framing,XXXX-43.sr-1000,PPPP,043.910,ABC,1000,PPPP-043.910-ABC-1000
043.920 EXTENDED COVERED PATIO ROOF    ,5,,COVPX,43.xc,EXTENDED COVERED PATIO ROOF    ,1000,Framing,XXXX-43.xc-1000,PPPP,043.920,**,1000,PPPP-043.920-**-1000
045.000 EXT COVERED PATIO     ,5,,,45,EXT COVERED PATIO     ,1000,Framing,XXXX-45-1000,PPPP,045.000,**,1000,PPPP-045.000-**-1000
045.100 OPT COVERED DECK ROOF    ,5,,COVD,45.1,OPT COVERED DECK ROOF    ,1000,Framing,XXXX-45.1-1000,PPPP,045.100,**,1000,PPPP-045.100-**-1000
045.200 OPT COVERED DECK 2 ROOF   ,5,,COVD2,45.2,OPT COVERED DECK 2 ROOF   ,1000,Framing,XXXX-45.2-1000,PPPP,045.200,**,1000,PPPP-045.200-**-1000
045.300 OPT COVERED DECK ROOF    ,5,,COVD3,45.3,OPT COVERED DECK ROOF    ,1000,Framing,XXXX-45.3-1000,PPPP,045.300,**,1000,PPPP-045.300-**-1000
058.000 HOUSEWRAP       ,6,,,58,HOUSEWRAP       ,1100,Siding,XXXX-58-1100,PPPP,058.000,**,2100,PPPP-058.000-**-2100
058.000 HOUSEWRAP       ,6,"B, C, D",,58,HOUSEWRAP       ,1100,Siding,XXXX-58-1100,PPPP,058.000,BCD,2100,PPPP-058.000-BCD-2100
